0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	0.68588	
0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	0.71121	
0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	0.73653	
0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	0.76185	
0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	0.78718	
0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	0.81250	
0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	0.83782	
0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	0.86315	
0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	0.88847	
0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	0.91379	
0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	0.93912	
0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	0.96444	
0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	0.98977	
1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	1.01509	
1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	1.04041	
1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	1.06574	
1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	1.09106	
1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	1.11638	
1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	1.14171	
1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	1.16703	
1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	1.19235	
1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	1.21768	
1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	1.24300	
1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	1.26832	
1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	1.29365	
1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	1.31897	
