13	1.10875e+08	60Ni	0	0.061218	5.63372e+07	-109.381	2527.29	706.06
14	3.99091e+08	enubar	0	280.263	280.263	258.736	-94.405	51.8711
14	3.99091e+08	e-	0	36.7967	547.796	-197.33	-3.98028	-2.26246
14	3.99091e+08	gamma	0	1173.23	1173.23	233.715	-950.33	-647.076
14	3.99091e+08	gamma	0	1332.51	1332.51	-1039.92	102.525	826.827
14	3.99091e+08	60Ni	0	0.0133359	5.63372e+07	744.803	946.19	-229.359
15	2.92633e+08	enubar	0	256.588	256.588	89.2153	-49.8302	235.362
15	2.92633e+08	e-	0	60.4715	571.47	83.232	-31.0514	-239.931
15	2.92633e+08	gamma	0	1173.22	1173.22	606.164	-297.771	959.351
15	2.92633e+08	gamma	0	1332.49	1332.49	638.351	988.622	625.022
15	2.92633e+08	60Ni	0	0.0432718	5.63372e+07	-1416.96	-609.97	-1579.8
16	2.66067e+06	enubar	0	277.777	277.777	41.0462	-267.039	-64.5376
16	2.66067e+06	e-	0	39.2812	550.28	56.3868	-182.362	72.4763
16	2.66067e+06	gamma	0	1173.22	1173.22	996.46	-78.8746	-614.25
16	2.66067e+06	gamma	0	1332.47	1332.47	1183.84	-592.002	-153.384
16	2.66067e+06	60Ni	0	0.0623055	5.63372e+07	-2277.73	1120.28	759.695
17	3.37151e+08	enubar	0	264.627	264.627	-180.89	8.64582	192.955
17	3.37151e+08	e-	0	52.4311	563.43	-33.9063	233.159	28.6511
17	3.37151e+08	gamma	0	1173.23	1173.23	694.469	-542.974	-774.191
17	3.37151e+08	gamma	0	1332.52	1332.52	-1008.57	756.66	431.095
17	3.37151e+08	60Ni	0	0.00445504	5.63372e+07	528.901	-455.49	121.49
18	2.2168e+08	enubar	0	224.085	224.085	-29.2886	-206.259	82.5433
18	2.2168e+08	e-	0	92.9728	603.972	-209.068	-62.3264	-236.787
18	2.2168e+08	gamma	0	1173.22	1173.22	-306.941	-1131.59	-41.5636
18	2.2168e+08	gamma	0	1332.53	1332.53	762.431	905.931	-611.239
18	2.2168e+08	60Ni	0	0.00836705	5.63372e+07	-217.133	494.249	807.046
19	1.25091e+09	enubar	0	259.746	259.746	187.934	179.3	-0.766
19	1.25091e+09	e-	0	57.3136	568.313	-242.524	-28.588	-47.1585
19	1.25091e+09	gamma	0	1173.23	1173.23	681.409	-427.72	853.935
19	1.25091e+09	gamma	0	1332.52	1332.52	-167.597	1085.14	-754.965
19	1.25091e+09	60Ni	0	0.00769097	5.63372e+07	-459.221	-808.136	-51.0459
20	5.17188e+08	enubar	0	279.825	279.825	239.125	76.3076	123.686
20	5.17188e+08	e-	0	37.235	548.234	-126.348	-148.177	38.9899
20	5.17188e+08	gamma	0	1173.23	1173.23	-584.724	973.244	-295.572
20	5.17188e+08	gamma	0	1332.49	1332.49	380.007	741.212	1040.06
20	5.17188e+08	60Ni	0	0.0313248	5.63372e+07	91.9399	-1642.59	-907.168
21	1.3453e+08	enubar	0	286.381	286.381	-88.9632	263.82	-67.0728
21	1.3453e+08	e-	0	30.6786	541.678	69.4485	-131.213	-101.265
21	1.3453e+08	gamma	0	1173.23	1173.23	763.928	-546.366	703.113
21	1.3453e+08	gamma	0	1332.48	1332.48	441.759	-1217.27	314.011
21	1.3453e+08	60Ni	0	0.0424915	5.63372e+07	-1186.17	1631.03	-848.786
22	1.63088e+08	enubar	0	274.44	274.44	-119.098	32.4083	-245.118
22	1.63088e+08	e-	0	42.6179	553.617	104.895	169.805	-74.3989
22	1.63088e+08	gamma	0	1173.23	1173.23	711.262	607.022	708.587
22	1.63088e+08	gamma	0	1332.49	1332.49	1133.66	-499.01	491.261
22	1.63088e+08	60Ni	0	0.0374774	5.63372e+07	-1830.71	-310.225	-880.332
23	2.89566e+07	enubar	0	278.42	278.42	-270.118	-51.3505	43.7871
23	2.89566e+07	e-	0	38.6392	549.638	81.5506	136.783	124.988
23	2.89566e+07	gamma	0	1173.23	1173.23	-659.702	-967.115	-77.0751
23	2.89566e+07	gamma	0	1332.52	1332.52	1203.35	410.464	-398.843
23	2.89566e+07	60Ni	0	0.00392698	5.63372e+07	-355.085	471.219	307.142
24	2.08637e+08	enubar	0	201.691	201.691	-125.483	18.5958	156.804
24	2.08637e+08	e-	0	115.366	626.365	-309.036	187.451	23.9113
24	2.08637e+08	gamma	0	1173.23	1173.23	205.291	-192.256	1139.01
24	2.08637e+08	gamma	0	1332.53	1332.53	283.683	666.849	-1118.24
24	2.08637e+08	60Ni	0	0.00449822	5.63372e+07	-54.455	-680.64	-201.489
25	1.48356e+08	enubar	0	111.957	111.957	62.1576	-92.8238	7.38015
25	1.48356e+08	e-	0	205.101	716.1	292.68	42.6803	405.211
25	1.48356e+08	gamma	0	1173.24	1173.24	-147.634	62.9491	-1162.21
25	1.48356e+08	gamma	0	1332.5	1332.5	-663.013	-1153.18	78.464
25	1.48356e+08	60Ni	0	0.0173833	5.63372e+07	455.81	1140.37	671.152
26	1.35115e+08	enubar	0	152.206	152.206	-28.4374	-143.517	-41.9619
26	1.35115e+08	e-	0	164.851	675.85	-271.522	-343.592	62.2338
26	1.35115e+08	gamma	0	1173.23	1173.23	-159.536	990.337	-608.491
26	1.35115e+08	gamma	0	1332.48	1332.48	-635.72	651.726	-972.938
26	1.35115e+08	60Ni	0	0.044115	5.63372e+07	1095.22	-1154.95	1561.16
27	6.80789e+08	enubar	0	267.751	267.751	-51.3414	-120.135	-233.714
27	6.80789e+08	e-	0	49.3088	560.308	-34.5824	-60.2031	219.099
27	6.80789e+08	gamma	0	1173.23	1173.23	756.543	510.663	-737.112
27	6.80789e+08	gamma	0	1332.48	1332.48	849.805	998.442	-237.584
27	6.80789e+08	60Ni	0	0.0448731	5.63372e+07	-1520.42	-1328.77	989.311
28	2.54409e+07	enubar	0	136.621	136.621	-7.00262	19.3593	-135.061
28	2.54409e+07	e-	0	180.435	691.434	276.328	-58.5505	-370.371
28	2.54409e+07	gamma	0	1173.23	1173.23	818.518	629.811	556.626
28	2.54409e+07	gamma	0	1332.47	1332.47	1000.35	848.755	233.232
28	2.54409e+07	60Ni	0	0.0578058	5.63372e+07	-2088.19	-1439.37	-284.425
29	4.83265e+07	enubar	0	258.812	258.812	176.743	-168.055	86.6194
29	4.83265e+07	e-	0	58.2469	569.246	-161.785	-186.007	46.3445
29	4.83265e+07	gamma	0	1173.23	1173.23	1089.61	269.261	-341.65
29	4.83265e+07	gamma	0	1332.52	1332.52	-1287.66	-270.566	-210.587
29	4.83265e+07	60Ni	0	0.0029785	5.63372e+07	183.095	355.367	419.273
30	2.33928e+07	enubar	0	153.303	153.303	-152.947	-9.9594	-3.12431
30	2.33928e+07	e-	0	163.756	674.754	34.1304	-149.77	413.011
30	2.33928e+07	gamma	0	1173.23	1173.23	216.434	-383.091	-1087.6
30	2.33928e+07	gamma	0	1332.49	1332.49	849.216	-1025.14	58.7502
30	2.33928e+07	60Ni	0	0.0331761	5.63372e+07	-946.833	1567.96	618.964
31	1.60858e+07	enubar	0	173.188	173.188	3.17975	170.521	-30.1077
31	1.60858e+07	e-	0	143.871	654.87	406.794	15.0315	-45.0243
31	1.60858e+07	gamma	0	1173.23	1173.23	-760.398	857.767	-249.995
31	1.60858e+07	gamma	0	1332.49	1332.49	1025.16	709.363	-470.508
31	1.60858e+07	60Ni	0	0.0369223	5.63372e+07	-674.736	-1752.68	795.635
32	1.22621e+07	enubar	0	310.542	310.542	118.337	-283.437	45.7871
