-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	-1.98953	
-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	-1.88953	
-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	-1.78953	
-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	-1.68953	
-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	-1.58953	
-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	-1.48953	
-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	-1.38953	
-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	-1.28953	
-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	-1.18953	
-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	-1.08953	
-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	-0.98953	
-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	-0.88953	
-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	-0.78953	
-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	-0.68953	
-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	-0.58953	
-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	-0.48953	
-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	-0.38953	
-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	-0.28953	
-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	-0.18953	
