0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	0.65692	
0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	0.72335	
0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	0.78977	
0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	0.85619	
0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	0.92262	
0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	0.98904	
1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	1.05546	
1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	1.12189	
1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	1.18831	
1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	1.25473	
1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	1.32116	
1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	1.38758	
1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	1.45400	
1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	1.52042	
1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	1.58685	
1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	1.65327	
1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	1.71969	
1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	1.78612	
1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	1.85254	
1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	1.91896	
1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	1.98539	
2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	2.05181	
2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	2.11823	
